text,mental_health_disorder
"McConnell's package is not ""skinny"". It's anorexic.",Eating_disorder
not a full on diagnosis but like my therapist legit told my mom i have anorexia nevrususu and my poor mom sat there like ðŸ‘ðŸ‘„ðŸ‘...oh,Eating_disorder
Higher-calorie diets for patients with anorexia nervosa shorten hospital stays https://t.co/jQFWUHQELR via @instapaper,Eating_disorder
"tw // ed ment freddie pissed me off but it was amazing. but the way they got the anorexic, bulimic actress to play a food-obsessed character will never sit right with me",Eating_disorder
"Love this article so much. â€œI met him last year,â€ says Glazebrook of his adversary. â€œI realised he was going to be a problem. He knew how to grow big tomatoes."" https://t.co/GYVHt733F1",Eating_disorder
"the brains of a woman suffering with AN, one with a healthy weight and one considered obese. the AN patient suppresses the positve reward stimulus the obese woman and the AN patient both receive more rewards stimulus, however the area is wider in the anorexia patient https://t.co/jwMQAcRoeJ",Eating_disorder
a brain scan showing the areas affected by positive/negative rewards. be it financial or social. a detailed explanation of an anorexic brain https://t.co/bvehB5qgIo,Eating_disorder
"hii! not new to EDtwt, just using an old account! ðŸŒž â€¢ she/her 17 â€¢ vegan  â€¢ atypical/anorexia â€¢ cw: 53.6kg  â€¢ gw: 42kg  â€¢ 166cm  â€¢ pro recovery  â€¢ thinspo &amp; sweetspo  â€¢ low cal recipes  like / rt to become mutuals! &lt;3 {#thinspo #edtwt #ed #fatspo #sweetspo #meanspo}",Eating_disorder
Fuck off pussy bitch. The only cancerous thing i can think of rn is your existence.,Eating_disorder
Starving: Anorexia at 14 Anorexia steals the very life out of its victims. The disorder seemingly consumes them even as they consume next to nothing. Our guest contributor shares about her struggle with anorexia and how it correlates with mental health. https://t.co/Uxt24YYauv https://t.co/NBLUK84Rg0,Eating_disorder
Irl did this and lost 6kg sheâ€™s the real anorexic https://t.co/WvmFyxbWk2,Eating_disorder
tw/ weight / i donâ€™t think yâ€™all know how fucking frustrating it is for me to tell myself to lose weight everyday and failing every fucking single day for months already because all i do is binge eating and hating myself.,Eating_disorder
"Obesity is a hilarious problem we have, as its sorta a mark of pride that our country does so well people are dying from having too much food",Eating_disorder
my  dad  suggesting  me  pizza  ..  i  am  anorexic  and  currently  trying  to  keep  my  calorie  intake  under  100  today  mind  your  own  business,Eating_disorder
"A family that eats together build a connection that strengthens the family ties. We only not enjoy the sharing of food, achievements and topics that makes us laugh but this also serves the way to open up personal issue, conflicts, problem encountered by each of the family member.",Eating_disorder
"tw // anorexia i have anorexia, and this is literally so offensive? stfu",Eating_disorder
"i'm irene, very awkward girl, 18. either binge eating or starving, never an inbetween :) cw and hw is 186, and my first goal weight is 175. idk about ugw yet.",Eating_disorder
"So since they announced curfew by 12pm, and itâ€™s effective from 4pm, how will people who are at work, and donâ€™t have their homes stocked with enough food, fuel (since power is a big problem) and other resources to last the next 24hours cope? Did they think about this or? #EndSARS",Eating_disorder
maxy is the best anorexic,Eating_disorder
"broke my fast at 47hrs cause i felt like i was seriously about to die, my mom had to bring me food to my bed and sheâ€™s so worried now, asked me when the last time i ate was (i lied), said i look sick and that â€œanorexia is no jokeâ€ iâ€™m feeling bad now",Eating_disorder
im not anorexic,Eating_disorder
Eating disorder inquests : Anorexia ignorance 'major concern' - BBC News https://t.co/IYgcARFToF,Eating_disorder
"my throat hurts, i have nausea and a headache and want to binge eat and binge watch a show and I feel like this sadness is eating me up alive i hate realisations",Eating_disorder
BECAUSE IT A DISORDER SMARTASS,Eating_disorder
500 naira to spill your blood like this ? When food and drink is free for protesters ? illiteracy is a serious problem.,Eating_disorder
"The problem with GMO food,  https://t.co/qb4hxqODLg  economy and ecology, not health https://t.co/XTYEBrM5Zn",Eating_disorder
"Nah poverty is the problem here. If the person had food and essentials, they wouldnâ€™t care about N2000. There are so many literate people that commit crimes like this every time.",Eating_disorder
"These people legit have one job. They don't pay for food, transport, clothing. Nada. Everything has allowance. Sleep, wake and do your job, it's now a problem",Eating_disorder
"Identify cheap, satiating and nutritious food around your area - kedai nasi campur &gt; fast food.  Wont be a problem if you can cook.",Eating_disorder
"Agbero will extort,Harass,intimidate truck/cart pushers , food vendors, hawkers. These has to stop too. They are also part of the problem.   #EndBadGoveranceInNigeria  #Endsars #EndPoliceBrutalityinNigeraNOW",Eating_disorder
I was so hungry today from waiting so late to eat lunch that I almost passed outâ€¦and I was shaking. How was I ever anorexic. Like seriously? ðŸ¥´ https://t.co/38Gg8RWft3,Eating_disorder
I just found out that years ago a family took their anorexic daughter to court for refusing to eat??? That is wild,Eating_disorder
"If no food tastes good,  the problem is your health. If no book feels interesting, the problem is your mind.",Eating_disorder
Iâ€™ve been binge eating this week since I got severely dehydrated I need to turn this around ðŸ˜…,Eating_disorder
how r u gonna be racist n anorexic pick a struggle,Eating_disorder
The touts are government sponsored. Don't lose focus,Eating_disorder
"But anyways, the problem is, I looked at the big thing, and really it wasn't that big, and I just couldn't do it. So I did all the small things on my to do list. Ordered pet food. Created that webpage (that's easy for me, I realize it isn't easy for others), other things.",Eating_disorder
Verona WI USA - Guest/Food Service Coworker 1075 - Enjoy a fast paced work environment Ability to pr: Enjoy a fast paced work environment Ability to problem solve challenges and shift priorities ... Food Service Customer S https://t.co/DGqKTKMHoo,Eating_disorder
Ben hep binge eating mood beyb,Eating_disorder
"Now that Lagos will be on 24hour curfew i hope there will be enough foodðŸŽðŸ ðŸžðŸ—ðŸ¥©ðŸ¿ðŸ»ðŸ¥‚ðŸ¥£ðŸ´  to keep @lollylarry1 the Big MaMa in her room cuz i dont want any problem oh, neighbours take note https://t.co/tu9lNmyzs6",Eating_disorder
My problem is I wake up early in the morning and wanna eat cupcakes instead of real food like a grown up,Eating_disorder
"also, previously with my BED i had, i wouldve had like 20 of these ginger biscuits with a cup of milk,  today i only had one and nibbled on it slowly, so im proud of myself that i can control myself more where i didnt have any control previously with my binge eating disorder",Eating_disorder
"my childhood nickname is ""birdy"" because i apparently eat like a birdy...... like hello i'm anorexic, pls stop shaming me",Eating_disorder
Problem for who no get food for house..,Eating_disorder
Problem for who no get food for house.. #EndSARS #endpolicebrutality.,Eating_disorder
i drink 5 slim/green teas a day am i good anorexic already,Eating_disorder
"Food is universal, we all gotta eat, my pussy is not...",Eating_disorder
The govt (taxpayers) already pay for food for these kids via benefits etc.   There is a problem if those benefits are not spent on the children which need to be addressed Therefore i propose any parent whose child needs these extra meals should be stopped 20% of their benefits,Eating_disorder
"This curfew no be my problem, we are law abiding citizens, my problem is where man pikin go see food like the one we dey chop for protest in the next 24 hours or moreðŸ˜©.  #EndPoliceBrutalityinNigeraNOW #EndSARS",Eating_disorder
"If no food tastes good, the problem is in your health. (Not the food.) If no book feels interesting, the problem is in your mental health. (Not all the books.) Understand this.",Eating_disorder
"I have a problem with @johnredwood and ""thinks"" in the same sentence...",Eating_disorder
"We invade their territory. We decimate their food supply. We melt their ice. So how are #polarbears the predators here? #Humans are the planet's biggest problem because we won't share, co-operate or learn. #ClimateChangeIsReal",Eating_disorder
"I frequently only eat one meal a day, with no problem at all. However the moment I start a juice cleanse, all I can think about is food ðŸ˜‚ Currently Iâ€™m craving marrons glacÃ©s... If anyone wants to have some delivered to me for Friday when I can eat again, I would be grateful! https://t.co/IsM9cb8so3",Eating_disorder
Trying to control my food intake again. Been binge eating chocolates every night &amp; i know its bad ðŸ˜­ but starting today imma stop,Eating_disorder
feelin like the best anorexic rn,Eating_disorder
reincarnation if u r legit a thing u better bring me n loml back as two happi cats living their life w so little life struggles the biggest problem i want to have is my humancaretaker giving me my food 5 mins later than usual,Eating_disorder
"Food Polluted &amp; Convoluted - Most Diet Programs Still Assume the Problem AMOUNT U Eat, &amp; Not whats IN Your Food https://t.co/dVT6E6Hi2L",Eating_disorder
everything bagel seasoning duh: 5 calories per serving - my personal fave - makes your food not taste like anorexia https://t.co/wAI2wHmu3i,Eating_disorder
Wouldn't make sense there'd be books in there.  Empty fast food wrappers?  Pictures of a shirtless Vlad and the gang?  Let's just name a prison after him - that solves the whole problem.,Eating_disorder
"Yesterday I mentioned that if you overeat to the point where it's almost impossible to have good sex you have a problem. Someone commented that they prefer food over sex. One of my viewers responded: ""You can't have sex when you're dead."" Well played.",Eating_disorder
